Acompanhamento do fluxo de caixa
Data;Entradas;Saídas;Saldo diário;Saldo acumulado
08/06/26;0;10281,5;-10281,5;-77814,31
09/06/26;0;7129;-7129;-84943,31
11/06/26;0;330,3;-330,3;-85273,61
12/06/26;0;11713,73;-11713,73;-96987,34
13/06/26;0;16081,05;-16081,05;-113068,39
16/06/26;0;1958,84;-1958,84;-115027,23
18/06/26;0;9250,59;-9250,59;-124277,82
19/06/26;0;6550,11;-6550,11;-130827,93
20/06/26;0;2012,53;-2012,53;-132840,46
21/06/26;0;1465,7;-1465,7;-134306,16
22/06/26;0;195127;-195127;-329433,16
23/06/26;0;3465;-3465;-332898,16
24/06/26;0;7345,99;-7345,99;-340244,15
25/06/26;50609,19;0;50609,19;-289634,96
26/06/26;0;10106,18;-10106,18;-299741,14
27/06/26;0;36623,97;-36623,97;-336365,11
28/06/26;0;190;-190;-336555,11
01/07/26;0;49615,91;-49615,91;-386171,02
02/07/26;0;4034,44;-4034,44;-390205,46
03/07/26;0;4820;-4820;-395025,46

Fluxo mensal resumido
Data;Entradas;Saídas;Saldo mensal;Saldo acumulado
dez/25;238424,68;152192,63;86232,05;86232,05
jan/26;156386,02;74320,25;82065,77;168297,82
fev/26;449902,54;77239,26;372663,28;540961,1
mar/26;218942,88;105090,91;113851,97;654813,07
abr/26;35776,32;446889,51;-411113,19;243699,88
mai/26;43070,79;234965,34;-191894,55;51805,33
jun/26;73609,19;461969,63;-388360,44;-336555,11
jul/26;0;58470,35;-58470,35;-395025,46

Fluxo mensal detalhado
;Total;dez/25;jan/26;fev/26;mar/26;abr/26;mai/26;jun/26;jul/26;-;-;-;-
2 - Receita;1216112,42;238424,68;156386,02;449902,54;218942,88;35776,32;43070,79;73609,19;0;-;-;-;-
2.01 - Pecuária;362898,86;24128,16;145386,02;29902,54;26025,84;35776,32;43070,79;58609,19;0;-;-;-;-
2.01.01 - Leite;227039,24;22128,16;25526,4;29902,54;26025,84;35776,32;37070,79;50609,19;0;-;-;-;-
2.01.01.01 - Leite indústria;227039,24;22128,16;25526,4;29902,54;26025,84;35776,32;37070,79;50609,19;0;-;-;-;-
2.01.02 - Animais;133859,62;0;119859,62;0;0;0;6000;8000;0;-;-;-;-
2.01.02.01 - Vacas - descarte voluntário;130859,62;0;119859,62;0;0;0;3000;8000;0;-;-;-;-
2.01.02.03 - Bezerras/novilhas;3000;0;0;0;0;0;3000;0;0;-;-;-;-
2.01.03 - Outras receitas;2000;2000;0;0;0;0;0;0;0;-;-;-;-
2.01.03.02 - Pecuária - diversos;2000;2000;0;0;0;0;0;0;0;-;-;-;-
2.05 - Empréstimos e financiamentos;612917,04;0;0;420000;192917,04;0;0;0;0;-;-;-;-
2.05.01 - Custeio;192917,04;0;0;0;192917,04;0;0;0;0;-;-;-;-
2.05.02 - Capital de giro;420000;0;0;420000;0;0;0;0;0;-;-;-;-
2.07 - Receita - diversos;214296,52;214296,52;0;0;0;0;0;0;0;-;-;-;-
2.07.02 - Outras receitas;214296,52;214296,52;0;0;0;0;0;0;0;-;-;-;-
2.07.02.02 - Receitas diversas;214296,52;214296,52;0;0;0;0;0;0;0;-;-;-;-
2.98 - Transf. crédito;26000;0;11000;0;0;0;0;15000;0;-;-;-;-
3 - Despesa;1611137,88;152192,63;74320,25;77239,26;105090,91;446889,51;234965,34;461969,63;58470,35;-;-;-;-
3.01 - Insumos pecuária;168798,5;0;8397,7;30577,01;27354,96;27093,09;33496,85;38058,89;3820;-;-;-;-
3.01.01 - Alimentação do rebanho;101928,37;0;0;21829,17;18450,85;19801,77;18679,4;23167,18;0;-;-;-;-
3.01.01.01 - Concentrado protéico;95598,94;0;0;20672,64;18450,85;19801,77;14753,76;21919,92;0;-;-;-;-
3.01.01.03 - Minerais / aditivos;6329,43;0;0;1156,53;0;0;3925,64;1247,26;0;-;-;-;-
3.01.02 - Insumos reprodução;3874,99;0;885;200;373,33;573,33;393,33;1450;0;-;-;-;-
3.01.02.01 - Sêmen;2754,99;0;365;0;373,33;373,33;393,33;1250;0;-;-;-;-
3.01.02.02 - Nitrogênio;600;0;0;200;0;200;0;200;0;-;-;-;-
3.01.02.03 - Materiais inseminação;520;0;520;0;0;0;0;0;0;-;-;-;-
3.01.03 - Sanidade;31076,99;0;3925,2;5782,4;4158,28;3342,34;11063,97;2804,8;0;-;-;-;-
3.01.03.01 - Medicamentos;11635,23;0;0;3847,42;2316,48;823,03;3481,7;1166,6;0;-;-;-;-
3.01.03.02 - Vacinas;1088;0;0;0;54;265;135;634;0;-;-;-;-
3.01.03.03 - Higiene de ordenha;8342,56;0;0;1934,98;1787,8;2254,31;1361,27;1004,2;0;-;-;-;-
3.01.03.04 - Exames;10011,2;0;3925,2;0;0;0;6086;0;0;-;-;-;-
3.01.04 - Hormônios e animais;6560,06;0;0;1964,51;57,65;1005,9;1184;2348;0;-;-;-;-
3.01.04.01 - Reprodutivos;1346,06;0;0;964,51;57,65;5,9;124;194;0;-;-;-;-
3.01.04.02 - BST;5214;0;0;1000;0;1000;1060;2154;0;-;-;-;-
