ESTADO;MUNICÍPIO;FAZENDA;NÚMERO DA MATRIZ;DATA DE NASCIMENTO;DATA DE ENTRADA NA FAZENDA;DATA DE APTIDÃO;RAÇA DA MATRIZ;DATA DE BAIXA;TIPO DE BAIXA;MOTIVO DE BAIXA;GANHO DE PESO NASCIMENTO A DESM;PROPRIETÁRIO;IDSEMEN PAI;NÚMERO PAI;IDSEMEN AVÔ MATERNO;NÚMERO AVÔ MATERNO;DATA DO ÚLTIMO PARTO;TIPO DE PARTO;ORDEM DE PARTO;RETENÇÃO DE PLACENTA;GEMELAR ÚLTIMO PARTO;SEXO CRIA 1 - ÚLTIMO PARTO;SEXO CRIA 2 - ÚLTIMO PARTO;PESO AO PARTO;ECC NA SECAGEM;ECC ÚLTIMO PARTO;DATA DO SERVIÇO;TIPO DO SERVIÇO;INSEMINADOR;CONDIÇÃO DE IA;PROTOCOLO;REPRODUTOR;IDSEMEN REPRODUTOR;TIPO DE SÊMEN;RAÇA DO REPRODUTOR;ORDEM DE TENTATIVA;INTERVALO ENTRE TENTATIVAS;Tº RETAL IA/IATF;SETOR NA TENTATIVA;DATA DO DIAGNOSTICO;DIAGNÓSTICO;DATA DA PERDA DE PRENHEZ;TIPO DA PERDA DE PRENHEZ;CCS NO PRIMEIRO MÊS PÓS PARTO;CCS;PRODUÇÃO LACTAÇÃO ANTERIOR;DURAÇÃO DA LACTAÇÃO ANTERIOR (D;PERIODO SECO ANTERIOR (DIAS);PRODUÇÃO DE LEITE;DOENÇA NA LACTAÇÃO;ESCORE;CL INÍCIO PROTOCOLO;PEV;PARTO_REAL;TIPO_PARTO_REAL;SEXO CRIA 1 - ÚLTIMO PARTO REAL;SEXO CRIA 2 - ÚLTIMO PARTO REAL;DATA DE INÍCIO DA PRIMEIRA LACT;DATA DE TÉRMINO DA PRIMEIRA LAC;PRODUÇÃO TOTAL NA PRIMEIRA LACT;
;;Fazenda Estreito Ponte de Pedra;127;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;23/05/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;02/03/2026;Normal;M;;02/03/2026;;4423;
;;Fazenda Estreito Ponte de Pedra;127;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;02/03/2026;Normal;1;0;NÃO;M;;;;;12/04/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;COORS;;C;Holandês;1;;;Principal - Leite;22/05/2026;NEGATIVO;;;;;;;;4423;0;;0;45;;;;;02/03/2026;;4423;
;;Fazenda Estreito Ponte de Pedra;127;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;02/03/2026;Normal;1;0;NÃO;M;;;;;02/06/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;GUINESS;;C;Holandês;2;51;;Principal - Leite;12/06/2026;NEGATIVO;;;;;;;;4423;0;;0;45;;;;;02/03/2026;;4423;
;;Fazenda Estreito Ponte de Pedra;127;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;02/03/2026;Normal;1;0;NÃO;M;;;;;12/06/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;GUINESS;;C;Holandês;3;10;;Principal - Leite;19/06/2026;NEGATIVO;;;;;;;;4423;0;;0;45;;;;;02/03/2026;;4423;
;;Fazenda Estreito Ponte de Pedra;127;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;02/03/2026;Normal;1;0;NÃO;M;;;;;19/06/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;JAG;;C;Holandês;4;7;;Principal - Leite;;ABERTO;;;;;;;;4423;0;;0;45;;;;;02/03/2026;;4423;
;;Fazenda Estreito Ponte de Pedra;1273;03/08/2024;21/06/2026;03/08/2025;Holandês;;;;;HELIO RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;15/12/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1273;03/08/2024;21/06/2026;03/08/2025;Holandês;;;;;HELIO RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;15/12/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;2;27;;Principal - Leite;30/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1274;14/08/2024;21/06/2026;14/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;29/08/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;1;;;Principal - Leite;20/10/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1274;14/08/2024;21/06/2026;14/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;20/10/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;2;52;;Principal - Leite;04/12/2025;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1275;16/08/2024;21/06/2026;16/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;09/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1276;22/08/2024;21/06/2026;22/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;;;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;09/12/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1276;22/08/2024;21/06/2026;22/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;;;;;;;0;;;;;;;;09/12/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;2;21;;Principal - Leite;09/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1278;24/08/2024;21/06/2026;24/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;09/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1279;27/08/2024;21/06/2026;27/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;26/11/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1279;27/08/2024;21/06/2026;27/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;26/11/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;2;8;;Principal - Leite;28/12/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1279;27/08/2024;21/06/2026;27/08/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;28/12/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;3;32;;Principal - Leite;30/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;128;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;23/05/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;02/03/2026;Normal;F;;02/03/2026;;3466;
;;Fazenda Estreito Ponte de Pedra;128;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;02/03/2026;Normal;1;0;NÃO;F;;;;;02/06/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;GUINESS;;C;Holandês;1;;;Principal - Leite;03/07/2026;NEGATIVO;;;;;;;;3466;0;;0;45;;;;;02/03/2026;;3466;
;;Fazenda Estreito Ponte de Pedra;1280;08/09/2024;21/06/2026;08/09/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;17/10/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;26/11/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1280;08/09/2024;21/06/2026;08/09/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;26/11/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;2;40;;Principal - Leite;20/01/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1280;08/09/2024;21/06/2026;08/09/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;20/01/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;3;55;;Principal - Leite;26/02/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1283;15/10/2024;21/06/2026;15/10/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;20/01/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;26/02/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1284;20/10/2024;21/06/2026;20/10/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;;EAGER;;;;;0;;;;;;;;20/01/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;26/02/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1285;25/10/2024;21/06/2026;25/10/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;;EAGER;;;;;0;;;;;;;;10/03/2026;Inseminação Artificial;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;09/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;129;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;28/05/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;27/03/2026;Normal;M;;27/03/2026;;4602;
;;Fazenda Estreito Ponte de Pedra;129;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;27/03/2026;Normal;1;0;NÃO;M;;;;;02/06/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;GUINESS;;C;Holandês;1;;;Principal - Leite;23/06/2026;NEGATIVO;;;;;;;;4602;0;;0;45;;;;;27/03/2026;;4602;
;;Fazenda Estreito Ponte de Pedra;129;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;27/03/2026;Normal;1;0;NÃO;M;;;;;23/06/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;GUINESS;;C;Holandês;2;21;;Principal - Leite;;ABERTO;;;;;;;;4602;0;;0;45;;;;;27/03/2026;;4602;
;;Fazenda Estreito Ponte de Pedra;1290;16/11/2024;21/06/2026;16/11/2025;Holandês;;;;;JAIRO ALEXANDRE RODARTE E SILVA;;EAGER;;;;;0;;;;;;;;10/03/2026;Inseminação Artificial;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;1;;;Principal - Leite;09/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;130;28/02/2024;30/12/2025;27/02/2025;Girolando;20/05/2026;Descarte involuntário;Venda;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;18/04/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;18/01/2026;Normal;F;;18/01/2026;20/05/2026;2658,46;
;;Fazenda Estreito Ponte de Pedra;130;28/02/2024;30/12/2025;27/02/2025;Girolando;20/05/2026;Descarte involuntário;Venda;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;18/01/2026;Normal;1;0;NÃO;F;;;;3,5;26/02/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;A.R.K. STARGAZER MES;;C;Girolando;1;;;Principal - Leite;10/04/2026;POSITIVO;;;;;;;;2658,46;0;;0;45;;;;;18/01/2026;20/05/2026;2658,46;
;;Fazenda Estreito Ponte de Pedra;131;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;09/09/2025;Inseminação Artificial;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;09/10/2025;POSITIVO;;;;;;;;;0;;0;45;19/06/2026;Normal;F;;19/06/2026;;0;
;;Fazenda Estreito Ponte de Pedra;132;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;15/04/2025;Inseminação Artificial;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;30/01/2026;Normal;F;;30/01/2026;;4218;
;;Fazenda Estreito Ponte de Pedra;132;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;30/01/2026;Normal;1;0;NÃO;F;;;;;31/03/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;A.R.K. STARGAZER MES;;C;Girolando;1;;;Principal - Leite;22/04/2026;NEGATIVO;;;;;;;;4218;0;;0;45;;;;;30/01/2026;;4218;
;;Fazenda Estreito Ponte de Pedra;132;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;30/01/2026;Normal;1;0;NÃO;F;;;;;22/04/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;COORS;;C;Holandês;2;22;;Principal - Leite;21/05/2026;NEGATIVO;;;;;;;;4218;0;;0;45;;;;;30/01/2026;;4218;
;;Fazenda Estreito Ponte de Pedra;132;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;30/01/2026;Normal;1;0;NÃO;F;;;;;15/06/2026;Cobertura;;CIO NATURAL;;SEVAVERDE;;;Holandês;3;54;;Principal - Leite;;ABERTO;;;;;;;;4218;0;;0;45;;;;;30/01/2026;;4218;
;;Fazenda Estreito Ponte de Pedra;14;01/09/2024;27/04/2026;01/09/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;01/01/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;145;12/12/2021;12/12/2021;12/12/2022;Holandês;;;;;;;;;;;;0;;;;;;;;23/11/2024;Cobertura;;CIO NATURAL;;N. INF;;;Holandês;1;;;Principal - Leite;21/12/2024;POSITIVO;;;;;;;;;0;;0;45;02/09/2025;Normal;M;;02/09/2025;;7076;
;;Fazenda Estreito Ponte de Pedra;145;12/12/2021;12/12/2021;12/12/2022;Holandês;;;;;;;;;;02/09/2025;Normal;1;0;NÃO;M;;;;;17/10/2025;Inseminação Artificial;;CIO NATURAL;;TOURO;;C;Girolando;1;;;Principal - Leite;16/12/2025;NEGATIVO;;;;;;;;7076;0;;0;45;;;;;02/09/2025;;7076;
;;Fazenda Estreito Ponte de Pedra;145;12/12/2021;12/12/2021;12/12/2022;Holandês;;;;;;;;;;02/09/2025;Normal;1;0;NÃO;M;;;;;16/12/2025;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;A.R.K. STARGAZER MES;;C;Girolando;2;60;;Principal - Leite;15/01/2026;POSITIVO;;;;352;;;;7076;0;;0;45;;;;;02/09/2025;;7076;
;;Fazenda Estreito Ponte de Pedra;146;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;28/05/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;24/03/2026;Normal;F;;24/03/2026;;3944;
;;Fazenda Estreito Ponte de Pedra;146;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;24/03/2026;Normal;1;0;NÃO;F;;;;;28/04/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;COORS;;C;Holandês;1;;;Principal - Leite;19/05/2026;NEGATIVO;;;;;;;;3944;0;;0;45;;;;;24/03/2026;;3944;
;;Fazenda Estreito Ponte de Pedra;146;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;24/03/2026;Normal;1;0;NÃO;F;;;;;19/05/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;COORS;;C;Holandês;2;21;;Principal - Leite;01/07/2026;NEGATIVO;;;;;;;;3944;0;;0;45;;;;;24/03/2026;;3944;
;;Fazenda Estreito Ponte de Pedra;146;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;24/03/2026;Normal;1;0;NÃO;F;;;;;01/07/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;GUINESS;;C;Holandês;3;43;;Principal - Leite;;ABERTO;;;;;;;;3944;0;;0;45;;;;;24/03/2026;;3944;
;;Fazenda Estreito Ponte de Pedra;147;28/02/2024;30/12/2025;27/02/2025;Girolando;06/06/2026;Morte;Intoxicação com plantas tóxicas;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;16/07/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;16/08/2025;POSITIVO;;;;;;;;;0;;0;45;25/04/2026;Normal;M;;25/04/2026;06/06/2026;792,664;
;;Fazenda Estreito Ponte de Pedra;148;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;15/04/2025;Inseminação Artificial;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;25/01/2026;Normal;M;;25/01/2026;;6487;
;;Fazenda Estreito Ponte de Pedra;148;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;25/01/2026;Normal;1;0;NÃO;M;;;;;31/03/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;A.R.K. STARGAZER MES;;C;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;6487;0;;0;45;;;;;25/01/2026;;6487;
;;Fazenda Estreito Ponte de Pedra;149;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;03/04/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;11/01/2026;Normal;M;;11/01/2026;;5501;
;;Fazenda Estreito Ponte de Pedra;149;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;11/01/2026;Normal;1;0;NÃO;M;;;;;09/03/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;A.R.K. STARGAZER MES;;C;Girolando;1;;;Principal - Leite;10/04/2026;POSITIVO;;;;;;;;5501;0;;0;45;;;;;11/01/2026;;5501;
;;Fazenda Estreito Ponte de Pedra;150;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;28/05/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;11/03/2026;Normal;F;;11/03/2026;;5828;
;;Fazenda Estreito Ponte de Pedra;150;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;11/03/2026;Normal;1;0;NÃO;F;;;;;15/04/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;COORS;;C;Holandês;1;;;Principal - Leite;22/05/2026;NEGATIVO;;;;;;;;5828;0;;0;45;;;;;11/03/2026;;5828;
;;Fazenda Estreito Ponte de Pedra;150;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;11/03/2026;Normal;1;0;NÃO;F;;;;;02/06/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;GUINESS;;C;Holandês;2;48;;Principal - Leite;27/06/2026;NEGATIVO;;;;;;;;5828;0;;0;45;;;;;11/03/2026;;5828;
;;Fazenda Estreito Ponte de Pedra;150;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;11/03/2026;Normal;1;0;NÃO;F;;;;;27/06/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;GUINESS;;C;Holandês;3;25;;Principal - Leite;;ABERTO;;;;;;;;5828;0;;0;45;;;;;11/03/2026;;5828;
;;Fazenda Estreito Ponte de Pedra;151;21/01/2022;21/01/2022;21/01/2023;Holandês;;;;;;;JITTERS;;;;;0;;;;;;;;14/11/2024;Cobertura;;CIO NATURAL;;N. INF;;;Holandês;1;;;Principal - Leite;12/12/2024;POSITIVO;;;;;;;;;0;;0;45;24/08/2025;Normal;M;;24/08/2025;;8052;
;;Fazenda Estreito Ponte de Pedra;151;21/01/2022;21/01/2022;21/01/2023;Holandês;;;;;;;JITTERS;;;24/08/2025;Normal;1;0;NÃO;M;;;;;06/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;CIO NATURAL;;TOURO;;C;Girolando;1;;;Principal - Leite;18/12/2025;NEGATIVO;;;;;;;;8052;0;;0;45;;;;;24/08/2025;;8052;
;;Fazenda Estreito Ponte de Pedra;151;21/01/2022;21/01/2022;21/01/2023;Holandês;;;;;;;JITTERS;;;24/08/2025;Normal;1;0;NÃO;M;;;;;29/12/2025;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;A.R.K. STARGAZER MES;;C;Girolando;2;53;;Principal - Leite;05/02/2026;POSITIVO;;;;352;;;;8052;0;;0;45;;;;;24/08/2025;;8052;
;;Fazenda Estreito Ponte de Pedra;16;27/02/2025;27/04/2026;27/02/2026;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;10/05/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;COORS;;C;Holandês;1;;;Principal - Leite;12/06/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;17;05/11/2024;27/04/2026;05/11/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;05/03/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;22/05/2026;DIAGNÓSTICO;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;17;05/11/2024;27/04/2026;05/11/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;02/06/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;GUINESS;;C;Holandês;2;89;;Principal - Leite;23/06/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;17;05/11/2024;27/04/2026;05/11/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;23/06/2026;Inseminação Artificial;LEOMIR BONFIM;CIO NATURAL;;HAGEN;;S;Holandês;3;21;;Principal - Leite;;ABERTO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;18;18/06/2024;27/04/2026;18/06/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;18/10/2025;Cobertura;;CIO NATURAL;;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
